HH_ID,Roll_ID,Roll_Type,Timestamp,TimeSinceLastPull,Total Sheets,Number of Pulls
C,1712,Small,9/25/2019 21:40,5221,11.38046348,2
C,1712,Small,9/26/2019 6:56,33364,10.12372509,2
C,1712,Small,9/26/2019 9:21,8655,6.352075573,1
C,1712,Small,9/26/2019 9:22,61,5.420935544,1
C,1712,Small,9/26/2019 16:38,26180,6.481646394,1
C,1712,Small,9/26/2019 22:24,20750,5.564513102,1
C,1712,Small,9/26/2019 22:38,826,2.75724452,1
C,1712,Small,9/26/2019 22:39,79,4.104601743,1
C,1712,Small,9/27/2019 8:35,35728,11.29328888,2
C,1712,Small,9/27/2019 10:34,7150,5.798142472,1
C,1712,Small,9/27/2019 11:31,3383,4.425106232,1
C,1712,Small,9/27/2019 13:24,6820,5.016516107,1
C,1712,Small,9/27/2019 14:42,4624,6.966813832,1
C,1712,Small,9/27/2019 15:28,2763,4.615814876,1
C,1712,Small,9/27/2019 17:07,5944,5.78104283,1
C,1712,Small,9/27/2019 22:31,19486,5.688956871,2
C,1712,Small,9/28/2019 0:43,7910,5.005836219,2
C,1712,Small,9/28/2019 1:53,4187,5.165338102,2
C,1712,Small,9/28/2019 8:47,24855,6.114728825,2
C,1712,Small,9/28/2019 9:10,1353,2.956866033,1
C,1712,Small,9/28/2019 9:11,53,8.151335062,1
C,1712,Small,9/28/2019 14:28,19033,6.102506528,1
A,1207,Small,9/28/2019 16:08,6266,6.70765477,4
A,1207,Small,9/28/2019 16:10,124,3.642078695,1
A,1207,Small,9/28/2019 16:13,188,3.306116937,1
A,1207,Small,9/28/2019 16:58,2692,2.506606969,1
C,1712,Small,9/28/2019 17:20,10288,5.655174453,1
A,1207,Small,9/28/2019 19:58,10814,6.992617081,1
A,1207,Small,9/28/2019 20:09,651,6.908201478,2
C,1712,Small,9/28/2019 20:58,13115,4.709644003,1
A,1207,Small,9/28/2019 21:15,3981,8.328718889,2
A,1207,Small,9/28/2019 21:37,1301,-0.150305711,1
A,1207,Small,9/28/2019 21:38,69,2.549527696,1
A,1207,Small,9/28/2019 21:45,383,3.875974778,1
A,1207,Small,9/28/2019 21:52,447,5.02606195,2
A,1207,Small,9/28/2019 21:53,77,9.33009295,4
C,1712,Small,9/28/2019 21:57,3521,6.956635013,1
A,1207,Small,9/28/2019 22:03,566,6.172755906,2
A,1207,Small,9/28/2019 22:10,413,3.836522552,2
A,1207,Small,9/28/2019 22:12,98,3.665706975,1
C,1712,Small,9/28/2019 23:14,4618,5.97813037,2
A,1207,Small,9/29/2019 2:35,15760,5.167997134,2
A,1207,Small,9/29/2019 2:53,1134,3.32169968,2
A,1207,Small,9/29/2019 4:03,4197,4.118358359,1
A,1207,Small,9/29/2019 4:05,64,8.124162582,2
A,1207,Small,9/29/2019 8:09,14663,5.332734953,1
C,1712,Small,9/29/2019 8:45,34235,5.252005617,1
C,1712,Small,9/29/2019 8:46,68,5.692993223,1
A,1207,Small,9/29/2019 9:13,3834,7.353524917,3
A,1207,Small,9/29/2019 9:32,1112,1.167412255,2
A,1207,Small,9/29/2019 11:21,6550,6.67893345,1
C,1712,Small,9/29/2019 12:12,12383,3.895802307,1
C,1712,Small,9/29/2019 12:22,616,1.829298191,1
A,1207,Small,9/29/2019 14:30,11375,2.412261839,2
A,1207,Small,9/29/2019 14:32,62,2.145583405,1
C,1712,Small,9/29/2019 15:01,9508,4.054954106,1
A,1207,Small,9/29/2019 15:12,2438,5.000908682,2
A,1207,Small,9/29/2019 16:29,4582,2.722069434,1
C,1712,Small,9/29/2019 17:27,8763,5.708125916,1
A,1207,Small,9/29/2019 19:26,10611,6.589148764,1
C,1712,Small,9/29/2019 20:24,10629,6.450759024,2
C,1712,Small,9/29/2019 20:25,55,4.680055765,2
A,1207,Small,9/29/2019 21:04,5885,5.39810014,1
A,1207,Small,9/29/2019 21:06,127,2.726429948,1
C,1712,Small,9/29/2019 21:07,2523,5.718056273,2
A,1207,Small,9/29/2019 21:46,2406,3.289367794,1
A,1207,Small,9/29/2019 21:49,179,4.181164065,1
A,1207,Small,9/29/2019 22:14,1474,6.622681891,1
C,1712,Small,9/29/2019 22:35,5290,4.524531126,1
C,1712,Small,9/29/2019 22:38,133,3.573922985,1
C,1712,Small,9/30/2019 3:45,18457,7.344866314,2
C,1712,Small,9/30/2019 3:46,45,4.540322718,1
A,1207,Small,9/30/2019 9:15,39710,11.41532415,3
A,1207,Small,9/30/2019 9:17,61,2.596350798,1
C,1712,Small,9/30/2019 10:11,23068,5.239176683,2
A,1207,Small,9/30/2019 10:29,4331,0.430390677,1
A,1207,Small,9/30/2019 14:00,12646,1.714892832,1
A,1207,Small,9/30/2019 14:02,114,5.918084491,2
A,1207,Small,9/30/2019 15:13,4246,3.632416709,1
C,1712,Small,9/30/2019 17:10,25138,8.181513131,2
A,1207,Small,9/30/2019 18:02,10181,1.643525172,1
A,1207,Small,9/30/2019 20:53,10266,3.759778134,1
A,1207,Small,9/30/2019 22:39,6313,3.106146582,1
A,1207,Small,10/1/2019 3:04,15921,2.967804959,1
A,1207,Small,10/1/2019 5:13,7742,8.110257883,3
C,1717,Small,10/1/2019 10:03,9664,2.409660256,1
C,1717,Small,10/1/2019 12:26,8542,3.328002463,1
A,1207,Small,10/1/2019 13:43,30569,6.073926861,3
C,1717,Small,10/1/2019 16:44,15475,5.662376508,1
A,1207,Small,10/1/2019 18:28,17098,18.31138317,4
C,1717,Small,10/1/2019 21:16,16338,5.143051471,1
C,1717,Small,10/1/2019 21:24,512,4.328200792,1
C,1717,Small,10/1/2019 21:26,111,6.735426626,1
C,1717,Small,10/2/2019 2:36,18573,7.105513214,2
A,1207,Small,10/2/2019 6:24,42918,14.12146531,3
A,1207,Small,10/2/2019 6:25,72,3.213290778,1
C,1717,Small,10/2/2019 8:20,20683,5.826155532,1
C,1717,Small,10/2/2019 8:22,73,3.553811323,1
A,1207,Small,10/2/2019 13:07,24080,3.424034141,1
A,1207,Small,10/2/2019 13:17,598,1.641908308,6
C,1717,Small,10/2/2019 13:48,19566,5.869659873,1
A,1207,Small,10/2/2019 16:19,10927,3.830305215,1
C,1717,Small,10/2/2019 16:29,9643,6.811621857,1
C,1717,Small,10/2/2019 17:49,4825,7.408909559,2
A,1207,Small,10/2/2019 20:23,14653,2.572732264,2
A,1207,Small,10/2/2019 20:49,1523,0.267312238,1
C,1717,Small,10/2/2019 22:29,16767,7.288059765,1
C,1717,Small,10/3/2019 3:04,16548,7.585861586,3
A,1207,Small,10/3/2019 4:13,26663,2.766509133,1
A,1207,Small,10/3/2019 6:37,8618,3.008667689,1
C,1717,Small,10/3/2019 7:11,14779,5.437785481,1
C,1717,Small,10/3/2019 7:13,148,4.836979503,1
C,1717,Small,10/3/2019 9:06,6737,7.022790591,2
C,1717,Small,10/3/2019 10:03,3427,-0.131421628,1
C,1717,Small,10/3/2019 10:04,47,7.037114229,4
C,1717,Small,10/3/2019 13:22,11837,12.45661625,4
C,1717,Small,10/3/2019 13:26,179,7.918747445,2
C,1717,Small,10/3/2019 15:50,8631,10.4907281,1
C,1717,Small,10/3/2019 15:52,129,4.951560112,1
C,1717,Small,10/3/2019 15:53,52,5.453843785,1
C,1717,Small,10/3/2019 17:02,4198,6.377972357,1
C,1717,Small,10/3/2019 19:40,9468,10.62952061,2
C,1717,Small,10/3/2019 21:13,5550,4.850336674,2
C,1717,Small,10/3/2019 21:15,107,4.345701953,1
A,1208,Small,10/3/2019 22:17,30088,2.104630042,1
A,1208,Small,10/3/2019 22:22,301,0.484683375,1
A,1208,Small,10/3/2019 23:52,5373,3.703441543,1
A,1208,Small,10/3/2019 23:53,56,8.259193534,3
C,1717,Small,10/4/2019 6:48,34409,3.654302236,1
C,1717,Small,10/4/2019 8:38,6604,8.160931924,2
A,1208,Small,10/4/2019 10:12,37153,5.18294566,1
A,1208,Small,10/4/2019 13:08,10535,10.53685705,4
A,1208,Small,10/4/2019 14:55,6405,2.604095609,2
C,1717,Small,10/4/2019 18:26,35233,7.602921614,1
A,1208,Small,10/4/2019 20:43,20904,3.200190987,2
A,1208,Small,10/4/2019 21:03,1172,2.728388809,1
C,1717,Small,10/4/2019 21:25,10742,5.942204923,1
C,1717,Small,10/4/2019 23:09,6260,4.952586518,2
A,1208,Small,10/5/2019 0:38,12924,7.657087179,2
C,1717,Small,10/5/2019 6:19,25789,7.609517033,1
A,1208,Small,10/5/2019 8:57,29924,8.576288215,2
C,1717,Small,10/5/2019 10:18,14361,5.772556989,1
A,1208,Small,10/5/2019 11:07,7764,4.817019654,1
A,1208,Small,10/5/2019 11:07,31,3.474773307,1
C,1717,Small,10/5/2019 12:52,9211,6.588000201,1
C,1717,Small,10/5/2019 12:53,71,5.13592553,1
A,1208,Small,10/5/2019 12:58,6664,7.872457767,1
A,1208,Small,10/5/2019 14:27,5333,6.207172543,2
C,1717,Small,10/5/2019 14:32,5970,5.280470385,1
A,1208,Small,10/5/2019 15:08,2452,8.058872679,2
A,1208,Small,10/5/2019 16:31,4962,8.994440004,3
A,1208,Small,10/5/2019 16:35,201,14.32634973,3
C,1717,Small,10/5/2019 17:12,9578,6.281978423,1
A,1208,Small,10/5/2019 17:30,3264,3.117601512,2
A,1208,Small,10/5/2019 18:32,3756,10.47063469,3
C,1717,Small,10/5/2019 18:34,4934,6.206100508,1
C,1717,Small,10/5/2019 19:36,3676,3.80737752,1
A,1208,Small,10/5/2019 20:33,7241,7.236810612,1
A,1208,Small,10/5/2019 20:42,517,3.443441901,1
A,1208,Small,10/5/2019 21:12,1837,4.01638456,1
A,1208,Small,10/5/2019 21:13,50,4.807482314,1
A,1208,Small,10/5/2019 21:54,2464,2.141606575,1
A,1208,Small,10/5/2019 21:55,36,6.460111782,1
A,1208,Small,10/5/2019 21:56,47,3.125180406,1
A,1208,Small,10/5/2019 22:01,294,1.837618528,2
C,1717,Small,10/5/2019 22:07,9067,6.407514965,2
C,1717,Small,10/5/2019 22:23,990,3.273462132,1
A,1208,Small,10/6/2019 2:21,15591,2.054564709,1
C,1717,Small,10/6/2019 3:30,18386,6.208761613,2
C,1717,Small,10/6/2019 8:04,16438,2.6021971,4
A,1208,Small,10/6/2019 9:00,23974,6.528386536,1
A,1208,Small,10/6/2019 9:04,231,4.420629576,1
A,1208,Small,10/6/2019 9:04,31,6.291439235,2
A,1208,Small,10/6/2019 11:55,10244,6.151205117,1
A,1208,Small,10/6/2019 12:04,530,9.065067465,2
A,1208,Small,10/6/2019 12:16,719,4.510798361,1
A,1208,Small,10/6/2019 12:21,282,17.38255085,1
A,1208,Small,10/6/2019 12:29,469,13.11727149,4
A,1208,Small,10/6/2019 12:40,644,10.44781069,2
C,1710,Small,10/6/2019 13:04,3497,12.51885286,2
C,1710,Small,10/6/2019 15:04,7192,6.00705079,1
A,1208,Small,10/6/2019 15:30,10208,8.276848166,2
A,1208,Small,10/6/2019 15:31,33,2.630059589,1
A,1208,Small,10/6/2019 15:59,1703,5.249831063,1
C,1710,Small,10/6/2019 16:50,6377,5.946855171,1
A,1208,Small,10/6/2019 20:25,15949,6.393632873,1
A,1208,Small,10/6/2019 20:28,212,3.653761966,2
C,1710,Small,10/6/2019 20:35,13452,4.034217557,1
A,1208,Small,10/6/2019 20:45,999,2.641674006,1
A,1208,Small,10/7/2019 0:43,14268,8.028922739,2
A,1208,Small,10/7/2019 0:44,37,1.950415941,2
A,1208,Small,10/7/2019 3:39,10543,1.18059459,2
C,1710,Small,10/7/2019 3:58,26617,5.539317318,2
C,1710,Small,10/7/2019 9:34,20177,6.999395424,1
C,1710,Small,10/7/2019 11:27,6760,16.96614493,3
C,1710,Small,10/7/2019 14:13,9880,5.390103965,1
A,1202,Small,10/7/2019 15:44,10433,0.948231583,1
A,1202,Small,10/7/2019 15:48,204,3.934811328,2
C,1710,Small,10/7/2019 18:23,15011,5.762941877,1
C,1710,Small,10/7/2019 18:48,1513,4.987860325,1
A,1202,Small,10/7/2019 20:15,16018,11.18668661,2
A,1202,Small,10/7/2019 20:27,691,8.702865681,1
C,1710,Small,10/7/2019 20:58,7833,5.357571733,1
A,1202,Small,10/8/2019 0:50,15798,3.021538309,1
C,1710,Small,10/8/2019 4:22,26641,6.543201084,2
A,1202,Small,10/8/2019 5:17,16043,8.964566804,3
A,1202,Small,10/8/2019 8:21,11001,1.627225251,1
A,1202,Small,10/8/2019 8:21,45,3.972713057,1
C,1710,Small,10/8/2019 8:21,14319,5.905669108,1
A,1202,Small,10/8/2019 11:43,12102,4.523786781,2
C,1710,Small,10/8/2019 11:43,12095,7.575548374,1
A,1202,Small,10/8/2019 11:46,140,4.483725846,1
C,1710,Small,10/8/2019 12:26,2567,0.134089578,1
A,1202,Small,10/8/2019 14:13,8829,15.58671444,3
A,1202,Small,10/8/2019 14:21,441,10.19630208,6
C,1710,Small,10/8/2019 15:07,9664,0.134047891,1
C,1710,Small,10/8/2019 15:54,2827,5.062930015,1
A,1202,Small,10/8/2019 17:06,9864,8.22269339,2
D,2043,Small,10/8/2019 19:01,41708,0.622316325,4
D,2043,Small,10/8/2019 19:10,530,-1.557041411,1
A,1202,Small,10/8/2019 21:04,14258,8.067577114,2
D,2043,Small,10/8/2019 21:05,6895,14.16753868,1
D,2043,Small,10/8/2019 21:05,36,10.69242379,1
D,2043,Small,10/8/2019 21:06,56,6.668085986,1
A,1202,Small,10/8/2019 21:08,233,3.910758507,1
A,1202,Small,10/8/2019 21:16,498,3.616191658,1
C,1710,Small,10/8/2019 21:36,20531,6.700377015,1
C,1710,Small,10/8/2019 21:45,560,3.503362306,1
C,1710,Small,10/8/2019 23:22,5796,5.644068365,1
C,1710,Small,10/8/2019 23:23,52,4.809474773,1
A,1202,Small,10/9/2019 2:21,18266,2.818365751,1
C,1710,Small,10/9/2019 4:53,19794,6.977927594,3
D,2043,Small,10/9/2019 4:57,28260,4.544463393,4
D,2043,Small,10/9/2019 6:31,5583,9.971276764,1
D,2043,Small,10/9/2019 6:32,58,5.265168873,1
D,2043,Small,10/9/2019 6:35,182,22.2461551,3
D,2043,Small,10/9/2019 6:55,1202,31.53026076,3
C,1710,Small,10/9/2019 7:04,7898,5.269321367,1
C,1710,Small,10/9/2019 9:28,8592,6.149737165,1
C,1710,Small,10/9/2019 9:28,31,3.566843088,1
C,1710,Small,10/9/2019 10:31,3785,6.209732854,1
C,1710,Small,10/9/2019 11:20,2946,5.294658803,1
A,1202,Small,10/9/2019 11:40,33522,8.084160339,1
A,1202,Small,10/9/2019 12:08,1724,2.987538954,1
A,1202,Small,10/9/2019 13:09,3661,4.313786105,1
A,1202,Small,10/9/2019 14:24,4471,3.535594642,1
C,1710,Small,10/9/2019 15:25,14688,4.194737343,1
A,1202,Small,10/9/2019 15:46,4938,6.847098083,1
D,2043,Small,10/9/2019 16:09,33210,5.568807248,3
C,1710,Small,10/9/2019 16:17,3146,13.96402703,3
A,1202,Small,10/9/2019 16:35,2946,2.842469177,1
D,2043,Small,10/9/2019 17:18,4113,13.96587701,2
D,2043,Small,10/9/2019 17:19,38,23.09053138,2
D,2043,Small,10/9/2019 17:47,1688,15.13088118,1
A,1202,Small,10/9/2019 19:25,10164,3.985728231,1
C,1710,Small,10/9/2019 19:57,13164,6.048714071,1
A,1202,Small,10/9/2019 20:42,4644,4.28265463,1
C,1710,Small,10/9/2019 21:13,4525,5.297202107,1
A,1202,Small,10/9/2019 21:15,1974,6.93599117,2
C,1710,Small,10/9/2019 21:15,96,6.09318571,1
D,2043,Small,10/9/2019 21:42,14066,34.59316867,4
D,2043,Small,10/9/2019 21:47,255,2.114118851,1
C,1710,Small,10/9/2019 22:18,3826,5.45358599,1
