Bruh,HH_ID,Roll_ID,Roll_Type,Timestamp,Time_since_last_pull,Sheets,Time Rank
,C,1712,Small,9/25/2019 21:40,5221,5.720329548,1
,C,1712,Small,9/25/2019 21:40,23,5.660133928,2
,C,1712,Small,9/26/2019 6:56,33364,4.426006334,3
,C,1712,Small,9/26/2019 6:57,30,5.697718756,4
,C,1712,Small,9/26/2019 9:21,8655,6.352075573,5
,C,1712,Small,9/26/2019 9:22,61,5.420935544,6
,C,1712,Small,9/26/2019 16:38,26180,6.481646394,7
,C,1712,Small,9/26/2019 22:24,20750,5.564513102,8
,C,1712,Small,9/26/2019 22:38,826,2.75724452,9
,C,1712,Small,9/26/2019 22:39,79,4.104601743,10
,C,1712,Small,9/27/2019 8:35,35728,6.891719048,11
,C,1712,Small,9/27/2019 8:35,25,4.401569829,12
,C,1712,Small,9/27/2019 10:34,7150,5.798142472,13
,C,1712,Small,9/27/2019 11:31,3383,4.425106232,14
,C,1712,Small,9/27/2019 13:24,6820,5.016516107,15
,C,1712,Small,9/27/2019 14:42,4624,6.966813832,16
,C,1712,Small,9/27/2019 15:28,2763,4.615814876,17
,C,1712,Small,9/27/2019 17:07,5944,5.78104283,18
,C,1712,Small,9/27/2019 22:31,19486,4.967834524,19
,C,1712,Small,9/27/2019 22:32,6,0.721122347,20
,C,1712,Small,9/28/2019 0:43,7910,4.176636805,21
,C,1712,Small,9/28/2019 0:43,4,0.829199414,22
,C,1712,Small,9/28/2019 1:53,4187,5.048840319,23
,C,1712,Small,9/28/2019 1:53,1,0.116497783,24
,C,1712,Small,9/28/2019 8:47,24855,3.129682571,25
,C,1712,Small,9/28/2019 8:48,9,2.985046254,26
,C,1712,Small,9/28/2019 9:10,1353,2.956866033,27
,C,1712,Small,9/28/2019 9:11,53,8.151335062,28
,C,1712,Small,9/28/2019 14:28,19033,6.102506528,29
,A,1207,Small,9/28/2019 16:08,6266,4.479940443,30
,A,1207,Small,9/28/2019 16:08,1,0.955735193,31
,A,1207,Small,9/28/2019 16:08,2,0.159143295,32
,A,1207,Small,9/28/2019 16:08,10,1.112835839,33
,A,1207,Small,9/28/2019 16:10,124,3.642078695,34
,A,1207,Small,9/28/2019 16:13,188,3.306116937,35
,A,1207,Small,9/28/2019 16:58,2692,2.506606969,36
,C,1712,Small,9/28/2019 17:20,10288,5.655174453,37
,A,1207,Small,9/28/2019 19:58,10814,6.992617081,38
,A,1207,Small,9/28/2019 20:09,651,7.3657468,39
,A,1207,Small,9/28/2019 20:09,2,-0.457545322,40
,C,1712,Small,9/28/2019 20:58,13115,4.709644003,41
,A,1207,Small,9/28/2019 21:15,3981,4.558570095,42
,A,1207,Small,9/28/2019 21:15,6,3.770148794,43
,A,1207,Small,9/28/2019 21:37,1301,-0.150305711,44
,A,1207,Small,9/28/2019 21:38,69,2.549527696,45
,A,1207,Small,9/28/2019 21:45,383,3.875974778,46
,A,1207,Small,9/28/2019 21:52,447,4.437261747,47
,A,1207,Small,9/28/2019 21:52,3,0.588800203,48
,A,1207,Small,9/28/2019 21:53,77,2.055548184,49
,A,1207,Small,9/28/2019 21:54,7,3.359234318,50
,A,1207,Small,9/28/2019 21:54,4,4.059738332,51
,A,1207,Small,9/28/2019 21:54,1,-0.144427884,52
,C,1712,Small,9/28/2019 21:57,3521,6.956635013,53
,A,1207,Small,9/28/2019 22:03,566,5.887360136,54
,A,1207,Small,9/28/2019 22:03,3,0.28539577,55
,A,1207,Small,9/28/2019 22:10,413,1.282217475,56
,A,1207,Small,9/28/2019 22:10,15,2.554305077,57
,A,1207,Small,9/28/2019 22:12,98,3.665706975,58
,C,1712,Small,9/28/2019 23:14,4618,5.387070581,59
,C,1712,Small,9/28/2019 23:14,2,0.591059789,60
,A,1207,Small,9/29/2019 2:35,15760,1.682360186,61
,A,1207,Small,9/29/2019 2:35,2,3.485636948,62
,A,1207,Small,9/29/2019 2:53,1134,3.045808481,63
,A,1207,Small,9/29/2019 2:53,2,0.275891199,64
,A,1207,Small,9/29/2019 4:03,4197,4.118358359,65
,A,1207,Small,9/29/2019 4:05,64,3.945416761,66
,A,1207,Small,9/29/2019 4:05,7,4.178745821,67
,A,1207,Small,9/29/2019 8:09,14663,5.332734953,68
,C,1712,Small,9/29/2019 8:45,34235,5.252005617,69
,C,1712,Small,9/29/2019 8:46,68,5.692993223,70
,A,1207,Small,9/29/2019 9:13,3834,-0.132505483,71
,A,1207,Small,9/29/2019 9:13,2,7.356109494,72
,A,1207,Small,9/29/2019 9:13,3,0.129920906,73
,A,1207,Small,9/29/2019 9:32,1112,0.908279116,74
,A,1207,Small,9/29/2019 9:32,2,0.259133139,75
,A,1207,Small,9/29/2019 11:21,6550,6.67893345,76
,C,1712,Small,9/29/2019 12:12,12383,3.895802307,77
,C,1712,Small,9/29/2019 12:22,616,1.829298191,78
,A,1207,Small,9/29/2019 14:30,11375,1.144526247,79
,A,1207,Small,9/29/2019 14:30,10,1.267735592,80
,A,1207,Small,9/29/2019 14:32,62,2.145583405,81
,C,1712,Small,9/29/2019 15:01,9508,4.054954106,82
,A,1207,Small,9/29/2019 15:12,2438,2.258662877,83
,A,1207,Small,9/29/2019 15:13,23,2.742245805,84
